stationid,toxbatch,matrix,treatment,concentration,concentrationunits,timepoint,parameter,qualifier,result,resultunits,labrep,lab,sampletypecode,dilution,comments,FID
0000,ECO010,Overlaying Water,None,2,mg/L,1,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,78
0000,ECO010,Overlaying Water,None,8,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,79
0000,ECO010,Overlaying Water,None,10,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,80
0000,ECO010,Overlaying Water,None,8,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,81
0000,ECO010,Overlaying Water,None,10,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,82
0000,ECO010,Overlaying Water,None,8,mg/L,0,Total Ammonia,None,8.56,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,83
0000,ECO010,Overlaying Water,None,10,mg/L,0,Total Ammonia,None,11.8,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,84
0000,ECO010,Overlaying Water,None,8,mg/L,0,Unionized Ammonia,None,0.124,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,85
0000,ECO010,Overlaying Water,None,10,mg/L,0,Unionized Ammonia,None,0.167,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,86
0000,ECO010,Overlaying Water,None,20,mg/L,0,Dissolved Oxygen,None,8,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,87
0000,ECO010,Overlaying Water,None,0,mg/L,2,Dissolved Oxygen,None,7.5,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,88
0000,ECO010,Overlaying Water,None,4,mg/L,1,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,89
0000,ECO010,Overlaying Water,None,6,mg/L,1,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,90
0000,ECO010,Overlaying Water,None,8,mg/L,1,Temperature,None,15.2,C,0,EcoAnalysts Inc,RFNH3,-88,,91
0000,ECO010,Overlaying Water,None,20,mg/L,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,RFNH3,-88,,92
0000,ECO010,Overlaying Water,None,0,mg/L,2,Salinity,None,30,g/L,0,EcoAnalysts Inc,RFNH3,-88,,93
0000,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,7.5,mg/L,0,EcoAnalysts Inc,CNEG,-88,,94
0000,ECO010,Overlaying Water,None,20,mg/L,0,pH,None,7.8,pH,0,EcoAnalysts Inc,RFNH3,-88,,95
0000,ECO010,Overlaying Water,None,0,mg/L,2,pH,None,7.9,pH,0,EcoAnalysts Inc,RFNH3,-88,,96
0000,ECO010,Overlaying Water,None,20,mg/L,0,Total Ammonia,None,26.8,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,97
0000,ECO010,Overlaying Water,None,0,mg/L,2,Total Ammonia,NM,-88,mg/L,0,EcoAnalysts Inc,RFNH3,-88,Final Ammonia not measured,98
0000,ECO010,Overlaying Water,None,20,mg/L,0,Unionized Ammonia,None,0.385,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,99
0000,ECO010,Overlaying Water,None,0,mg/L,2,Unionized Ammonia,NM,-88,mg/L,0,EcoAnalysts Inc,RFNH3,-88,Total value not measured; unable to be calculated,100
0000,ECO010,Overlaying Water,None,2,mg/L,2,Dissolved Oxygen,None,7.7,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,101
0000,ECO010,Overlaying Water,None,4,mg/L,2,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,RFNH3,-88,,102
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,8.8,mg/L,0,EcoAnalysts Inc,QA,-88,,103
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,8,pH,0,EcoAnalysts Inc,QA,-88,,104
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,8.7,mg/L,0,EcoAnalysts Inc,CNEG,-88,,105
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.1,pH,0,EcoAnalysts Inc,QA,-88,,106
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,7.9,pH,0,EcoAnalysts Inc,CNEG,-88,,107
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8,pH,0,EcoAnalysts Inc,QA,-88,,108
0000,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8,pH,0,EcoAnalysts Inc,CNEG,-88,,109
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30,g/L,0,EcoAnalysts Inc,QA,-88,,110
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8,pH,0,EcoAnalysts Inc,CNEG,-88,,111
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,31,g/L,0,EcoAnalysts Inc,QA,-88,,112
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30,g/L,0,EcoAnalysts Inc,CNEG,-88,,113
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,Salinity,None,30,g/L,0,EcoAnalysts Inc,QA,-88,,114
0000,ECO009,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,30,g/L,0,EcoAnalysts Inc,CNEG,-88,,115
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,14.8,C,0,EcoAnalysts Inc,QA,-88,,116
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,Salinity,None,30,g/L,0,EcoAnalysts Inc,CNEG,-88,,117
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,14.5,C,0,EcoAnalysts Inc,QA,-88,,118
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,14.3,C,0,EcoAnalysts Inc,CNEG,-88,,119
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,15.3,C,0,EcoAnalysts Inc,QA,-88,,120
0000,ECO009,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,15,C,0,EcoAnalysts Inc,CNEG,-88,,121
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.391,mg/L,0,EcoAnalysts Inc,QA,-88,,122
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,14.8,C,0,EcoAnalysts Inc,CNEG,-88,,123
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,Total Ammonia,None,0.97,mg/L,0,EcoAnalysts Inc,QA,-88,,124
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0,mg/L,0,EcoAnalysts Inc,CNEG,-88,,125
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.008,mg/L,0,EcoAnalysts Inc,QA,-88,,126
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,Total Ammonia,None,2.35,mg/L,0,EcoAnalysts Inc,CNEG,-88,,127
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,2,Unionized Ammonia,None,0.022,mg/L,0,EcoAnalysts Inc,QA,-88,,128
0000,ECO009,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0,mg/L,0,EcoAnalysts Inc,CNEG,-88,,129
0000,ECO009,Overlaying Water,None,-88,Not Recorded,2,Unionized Ammonia,None,0.051,mg/L,0,EcoAnalysts Inc,CNEG,-88,,130
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.8,mg/L,0,EcoAnalysts Inc,Grab,-88,,131
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,7.5,mg/L,0,EcoAnalysts Inc,Grab,-88,,132
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,8.1,mg/L,0,EcoAnalysts Inc,Grab,-88,,133
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,7.8,pH,0,EcoAnalysts Inc,Grab,-88,,134
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8,pH,0,EcoAnalysts Inc,Grab,-88,,135
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8,pH,0,EcoAnalysts Inc,Grab,-88,,136
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,137
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,138
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,139
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,14.9,C,0,EcoAnalysts Inc,Grab,-88,,140
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,14.6,C,0,EcoAnalysts Inc,Grab,-88,,141
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,15,C,0,EcoAnalysts Inc,Grab,-88,,142
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.476,mg/L,0,EcoAnalysts Inc,Grab,-88,,143
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,Total Ammonia,None,1.6,mg/L,0,EcoAnalysts Inc,Grab,-88,,144
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.007,mg/L,0,EcoAnalysts Inc,Grab,-88,,145
B18-10046,ECO009,Overlaying Water,None,-88,Not Recorded,2,Unionized Ammonia,None,0.035,mg/L,0,EcoAnalysts Inc,Grab,-88,,146
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,Grab,-88,,147
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,8,mg/L,0,EcoAnalysts Inc,Grab,-88,,148
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,Grab,-88,,149
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,8,pH,0,EcoAnalysts Inc,Grab,-88,,150
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.1,pH,0,EcoAnalysts Inc,Grab,-88,,151
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.2,pH,0,EcoAnalysts Inc,Grab,-88,,152
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,153
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,154
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,Salinity,None,31,g/L,0,EcoAnalysts Inc,Grab,-88,,155
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,14.3,C,0,EcoAnalysts Inc,Grab,-88,,156
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,14.5,C,0,EcoAnalysts Inc,Grab,-88,,157
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,14.8,C,0,EcoAnalysts Inc,Grab,-88,,158
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,2.46,mg/L,0,EcoAnalysts Inc,Grab,-88,,159
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,Total Ammonia,None,5.84,mg/L,0,EcoAnalysts Inc,Grab,-88,,160
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.051,mg/L,0,EcoAnalysts Inc,Grab,-88,,161
B18-10149,ECO009,Overlaying Water,None,-88,Not Recorded,2,Unionized Ammonia,None,0.198,mg/L,0,EcoAnalysts Inc,Grab,-88,,162
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.7,mg/L,0,EcoAnalysts Inc,QA,-88,,163
B18-10115,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,7.4,mg/L,0,EcoAnalysts Inc,QA,-88,,164
0000,eert180720,Reference Toxicant,None,62,mg/L,0,Total Ammonia,None,56.8,mg/L,0,City of San Diego,RFNH3,-88,,165
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,9.1,mg/L,0,EcoAnalysts Inc,QA,-88,,166
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,QA,-88,,167
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,8.1,mg/L,0,EcoAnalysts Inc,QA,-88,,168
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,8,pH,0,EcoAnalysts Inc,QA,-88,,169
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.1,pH,0,EcoAnalysts Inc,QA,-88,,170
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.1,pH,0,EcoAnalysts Inc,QA,-88,,171
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30,g/L,0,EcoAnalysts Inc,QA,-88,,172
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,30,g/L,0,EcoAnalysts Inc,QA,-88,,173
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,Salinity,None,31,g/L,0,EcoAnalysts Inc,QA,-88,,174
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.6,C,0,EcoAnalysts Inc,QA,-88,,175
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,15.1,C,0,EcoAnalysts Inc,QA,-88,,176
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,14.9,C,0,EcoAnalysts Inc,QA,-88,,177
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.769,mg/L,0,EcoAnalysts Inc,QA,-88,,178
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,Total Ammonia,None,0.779,mg/L,0,EcoAnalysts Inc,QA,-88,,179
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.018,mg/L,0,EcoAnalysts Inc,QA,-88,,180
B18-10178,ECO009,Overlaying Water,None,-88,Not Recorded,2,Unionized Ammonia,None,0.021,mg/L,0,EcoAnalysts Inc,QA,-88,,181
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.3,mg/L,0,EcoAnalysts Inc,Grab,-88,,182
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,8.3,mg/L,0,EcoAnalysts Inc,Grab,-88,,183
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,7.9,mg/L,0,EcoAnalysts Inc,Grab,-88,,184
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.1,pH,0,EcoAnalysts Inc,Grab,-88,,185
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.2,pH,0,EcoAnalysts Inc,Grab,-88,,186
0000,eert180720,Reference Toxicant,None,125,mg/L,0,Total Ammonia,None,124.4,mg/L,0,City of San Diego,RFNH3,-88,,187
B18-10772,ECO009,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.2,pH,0,EcoAnalysts Inc,Grab,-88,,188
0000,eert180720,Reference Toxicant,None,250,mg/L,0,Total Ammonia,None,246.4,mg/L,0,City of San Diego,RFNH3,-88,,189
